packets     size        speed

100         10          1000
100         50          5000
100         100         10000
100         250         25000
100         500         50000
100         1000        100000
100         2500        125000
100         5000        250000
100         10000       250000

1000        10          625
1000        50          3125
1000        100         6250
1000        250         14750
1000        500         29411
1000        1000        55555
1000        2500        131578
1000        5000        178571
1000        10000       232558

10000       10          588
10000       50          2775
10000       100         5676
10000       250         14649
