pakets  payload     speed
100     10          114.29
100     50          600.00
100     100         954.55
100     250         2254.55
100     500         3320.00
100     750         4400.00
100     1000        4785.71
100     2500        8882.61
100     5000        12017.00
100     7500        18745.00         
100     10000       17250.00

1000    10          157.89
1000    50          790.32
1000    75          1138.46
1000    100         1571.43
1000    250         3364.86
1000    500         5735.63
1000    750         8141.20
1000    1000        10741.94
1000    2500        16745.00
1000    5000        30585.00
1000    7500        40454.00
1000    10000       49137.00

10000   10          224.22
10000   50          1126.13
10000   75          1641.14
10000   100         2487.56
10000   250         5186.72
10000   500         9090.91
10000   750         12437.81
10000   1000        17035.78
10000   2500        44883.00
10000   5000        52410.00
10000   7500        61181.11
10000   8000        67624.68
